id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
30213,"Morro do Adeus, Complexo do Alemão, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COMPLEXO DO ALEMAO,,MORRO DO ADEUS (COMPLEXO DO ALEMAO),-22.8654866000,-43.2619815000,"28/08/2019, 14:00:00",false,false,,Não identificado,,,false,0,2,0,0,0,0,0,0,0,0,0,1,0,1
30216,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VICENTE DE CARVALHO,,MORRO DO JURAMENTO (COMPLEXO DO JURAMENTO),-22.8627778000,-43.3152778000,"28/08/2019, 14:45:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30217,"Bangu, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,BANGU,,,-22.8742263000,-43.4685442000,"28/08/2019, 17:07:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30236,"Estação de Trem, Av. Nazaré - Ricardo de Albuquerque, Rio de Janeiro - RJ, 21620-200, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,RICARDO DE ALBUQUERQUE,,,-22.8393849000,-43.3984576000,"28/08/2019, 20:00:00",false,false,,Tentativa/Roubo,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30221,"Complexo do Lins, Lins de Vasconcelos, Rio de Janeiro - RJ, 20725-140, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,LINS DE VASCONCELOS,,COMPLEXO DO LINS,-22.9196001000,-43.2855347000,"28/08/2019, 20:19:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30226,"Muquiço, Guadalupe, Rio de Janeiro - RJ, 21670-130, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,GUADALUPE,,FAVELA DO MUQUICO,-22.8517151000,-43.3798690000,"28/08/2019, 20:49:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30228,"Antares - Santa Cruz, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,SANTA CRUZ,,FAVELA DE ANTARES,-22.9216654000,-43.6638362000,"28/08/2019, 22:51:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30232,"Morro do Batan - Realengo, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,REALENGO,,BATAN,-22.8634419000,-43.4268541000,"29/08/2019, 02:40:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30233,"R. Isidro Rocha - Vigário Geral, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VIGARIO GERAL,,,-22.8119127000,-43.3121811000,"29/08/2019, 04:17:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30238,"Furquim Mendes - Vigário Geral, Rio de Janeiro - RJ, 21240-720, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VIGARIO GERAL,,FURQUIM MENDES,-22.8080985000,-43.3183281000,"29/08/2019, 05:40:00",true,true,PM,Operação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30237,Vila Cruzeiro Penha Rio de Janeiro,Sudeste,Rio de Janeiro,RIO DE JANEIRO,PENHA,,MORRO DA MERENDIBA (COMPLEXO DA PENHA),-22.8487441000,-43.2828813000,"29/08/2019, 07:25:00",true,true,N�o identificado,Operação policial,,,false,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30244,"Morro do Final Feliz, Complexo da Pedreira, Anchieta, Rio de Janeiro",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COSTA BARROS,,FAVELA FINAL FELIZ (COMPLEXO DA PEDREIRA),-22.8246493000,-43.3727275000,"29/08/2019, 15:00:00",true,true,N�o identificado,Ação policial,,,false,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30245,"Ladeira dos Tabajaras - Copacabana, Rio de Janeiro - RJ, 22031-112, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COPACABANA,,LADEIRA DOS TABAJARAS,-22.9645712000,-43.1897517000,"29/08/2019, 16:17:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30246,"Largo da capela, Estr. do Rio Grande, 3293 - Taquara, Rio de Janeiro - RJ, 22723-195, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,TAQUARA,,,-22.9166735000,-43.4146374000,"29/08/2019, 16:47:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30250,"Morro do Borel - Tijuca, Rio de Janeiro - RJ, 20530-420, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,TIJUCA,,MORRO DO BOREL,-22.9395041000,-43.2515359000,"29/08/2019, 19:39:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30252,"R. Congo, Vila Kennedy, Rio de Janeiro - RJ, 21852-580, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VILA KENNEDY,,VILA KENNEDY,-22.8634980000,-43.4936480000,"29/08/2019, 21:37:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30251,"Mata, Complexo do Alemão, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COMPLEXO DO ALEMAO,,GROTA (COMPLEXO DO ALEMAO),-22.8593866000,-43.2754314000,"30/08/2019, 03:15:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30255,"Pantanal - Cidade de Deus, Rio de Janeiro - RJ, 22772-450, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,CIDADE DE DEUS,,CIDADE DE DEUS,-22.9465479000,-43.3697197000,"30/08/2019, 03:51:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30256,"Malvinas, Vila Kennedy, Rio de Janeiro - RJ, 21850-020, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VILA KENNEDY,,VILA KENNEDY,-22.8622904000,-43.4865673000,"30/08/2019, 05:33:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30257,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-230, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,RIACHUELO,,MORRO DOS MACACOS,-22.9090869000,-43.2553349000,"30/08/2019, 06:15:00",false,false,,Disputa,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30264,"Barbante - Galeão, Rio de Janeiro - RJ, 21941-640, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,GALEAO,,MORRO DO BARBANTE (OU VILA JOANIZA),-22.8133777000,-43.2295811000,"30/08/2019, 11:30:00",true,true,PM,Operação policial,,,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30268,"Complexo do Lins, Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,LINS DE VASCONCELOS,,COMPLEXO DO LINS,-22.9142752000,-43.2867987000,"30/08/2019, 17:17:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
